id,true,pred,conf,lime_score,lime_runtime_sec,faithfulness,sufficiency,comprehensiveness
0,entailment,entailment,0.98095703125,0.7166055130509486,18.172778100008145,0.0,0.98095703125,0.0
1,contradiction,contradiction,0.99658203125,0.5492549231184776,26.738832300005015,0.00146484375,0.25390625,0.00146484375
2,contradiction,entailment,0.55419921875,0.5419508370221016,37.2773232999898,0.12353515625,0.72509765625,0.12353515625
3,contradiction,contradiction,0.68701171875,0.6286685768677661,22.149268199980725,0.5625,0.4169921875,0.5625
4,contradiction,contradiction,0.9306640625,0.4413177835742541,37.07947029999923,0.91162109375,0.12261962890625,0.91162109375
5,neutral,entailment,0.9912109375,0.689510181591007,26.92820439999923,0.0126953125,0.89794921875,0.0126953125
6,neutral,entailment,0.98583984375,0.8951153193819387,29.123975399998017,0.1064453125,0.80908203125,0.1064453125
7,neutral,contradiction,0.6220703125,0.27057861010911777,28.527159399993252,0.43603515625,0.0867919921875,0.43603515625
8,contradiction,contradiction,0.98974609375,0.6497745835710711,21.992525100009516,0.0,0.98974609375,0.0
9,entailment,entailment,0.9853515625,0.7525654182041255,35.87131670000963,0.29150390625,0.6484375,0.29150390625
10,neutral,neutral,0.99609375,0.7606782140784134,38.62180449999869,0.37939453125,0.8583984375,0.37939453125
11,entailment,entailment,0.978515625,0.63845596038406,27.09682299999986,0.13427734375,0.93505859375,0.13427734375
12,entailment,entailment,0.98779296875,0.7341205046282626,33.478852500003995,0.0556640625,0.8818359375,0.0556640625
13,entailment,entailment,0.9912109375,0.6069104423614278,37.18195719999494,0.04248046875,0.86328125,0.04248046875
14,neutral,neutral,0.9970703125,0.7599289413573223,34.6891115999897,0.97314453125,0.92822265625,0.97314453125
15,entailment,entailment,0.99072265625,0.6317238569685297,48.70002029999159,0.08935546875,0.818359375,0.08935546875
16,entailment,entailment,0.97314453125,0.8021254986836207,47.48079079997842,0.103515625,0.90380859375,0.103515625
17,entailment,entailment,0.98681640625,0.990014874792279,27.051658500015037,0.07275390625,0.806640625,0.07275390625
18,entailment,entailment,0.9599609375,0.6146517077291472,27.249949499993818,0.1962890625,0.904296875,0.1962890625
19,neutral,contradiction,0.9443359375,0.5395002084959926,26.811383899999782,-0.0498046875,0.947265625,-0.0498046875
20,contradiction,contradiction,0.9990234375,0.6358098738038203,31.92629850000958,0.39111328125,0.99560546875,0.39111328125
21,neutral,neutral,0.99755859375,0.7014433931685052,29.50872199999867,0.0009765625,0.395751953125,0.0009765625
22,entailment,entailment,0.97509765625,0.6814731224044084,39.89819640002679,0.533203125,0.97607421875,0.533203125
23,contradiction,contradiction,0.9990234375,0.5398014631275319,38.62024400001974,0.9912109375,0.99609375,0.9912109375
24,entailment,entailment,0.97216796875,0.7426655193041731,32.1924541000044,0.04150390625,0.9140625,0.04150390625
25,neutral,contradiction,0.6923828125,0.7366361271364776,70.11477059999015,0.5087890625,0.99609375,0.5087890625
26,contradiction,contradiction,0.93701171875,0.4917075181111473,38.60946229999536,0.06982421875,0.143310546875,0.06982421875
27,neutral,contradiction,0.9189453125,0.6972655241366386,40.80062740002177,0.908203125,0.77587890625,0.908203125
28,neutral,entailment,0.96484375,0.6931893033207257,28.515064999985043,-0.00537109375,0.849609375,-0.00537109375
29,neutral,neutral,0.99755859375,0.8942746199507132,31.040187400009017,0.01220703125,0.054443359375,0.01220703125
30,entailment,entailment,0.98486328125,0.7614602201587548,28.67716739999014,0.43994140625,0.95654296875,0.43994140625
31,entailment,entailment,0.990234375,0.6794011651565598,28.780447899975115,0.02587890625,0.96875,0.02587890625
32,neutral,neutral,0.8447265625,0.6612684445974109,43.754291100020055,0.69580078125,0.89794921875,0.69580078125
33,contradiction,contradiction,0.9482421875,0.5460432514520489,40.934751900000265,0.93115234375,0.68896484375,0.93115234375
34,neutral,neutral,0.57080078125,0.8289921499609848,31.0977436999965,0.224365234375,0.361083984375,0.224365234375
35,neutral,neutral,0.9970703125,0.8672478891745986,25.941567699977895,0.80078125,0.55322265625,0.80078125
36,contradiction,entailment,0.93115234375,0.7262385989288784,27.133700800011866,0.79296875,0.8125,0.79296875
37,entailment,entailment,0.986328125,0.8667803192181217,32.306573500012746,0.11328125,0.97314453125,0.11328125
38,neutral,neutral,0.9951171875,0.9679552005163079,29.60546500000055,0.021484375,0.0518798828125,0.021484375
39,neutral,neutral,0.99755859375,0.6669268975692639,27.16382019998855,0.4013671875,0.3671875,0.4013671875
40,contradiction,contradiction,0.998046875,0.7349001072550876,33.733764600008726,0.947265625,0.99365234375,0.947265625
41,neutral,neutral,0.99755859375,0.8367801072011166,31.221395799977472,0.33984375,0.8837890625,0.33984375
42,contradiction,contradiction,0.9990234375,0.4416515565818101,23.442984699999215,0.00146484375,0.99853515625,0.00146484375
43,entailment,entailment,0.99072265625,0.6383407463485158,37.21202889998676,0.0615234375,0.94873046875,0.0615234375
44,contradiction,contradiction,0.9970703125,0.5026595096943136,32.25309829998878,0.6005859375,0.4384765625,0.6005859375
45,neutral,neutral,0.849609375,0.6543898688187793,100.10560850001639,0.71240234375,0.7080078125,0.71240234375
46,neutral,neutral,0.92822265625,0.872458967284004,40.861828199995216,-0.04248046875,0.1385498046875,-0.04248046875
47,entailment,entailment,0.99365234375,0.5889679896523068,53.15992489998462,0.005859375,0.7822265625,0.005859375
48,contradiction,contradiction,0.89794921875,0.5409596198864024,43.69648569999845,0.5498046875,0.8642578125,0.5498046875
49,contradiction,contradiction,0.97119140625,0.40515802295908954,23.427758599980734,0.05615234375,0.935546875,0.05615234375
50,contradiction,contradiction,0.99951171875,0.7542491138459146,55.64125129999593,0.99072265625,0.9990234375,0.99072265625
51,neutral,neutral,0.99560546875,0.9154231587195584,31.272011099994415,0.57861328125,0.8525390625,0.57861328125
52,contradiction,contradiction,0.9990234375,0.600936995281792,28.796517599985236,0.93603515625,0.98974609375,0.93603515625
53,neutral,contradiction,0.94677734375,0.8307035745369548,36.11972829999286,-0.04736328125,0.06103515625,-0.04736328125
54,neutral,entailment,0.5791015625,0.45058839165893394,34.732702300010715,-0.28857421875,0.25732421875,-0.28857421875
55,entailment,entailment,0.98974609375,0.5652944379475946,40.946567000006326,0.0126953125,0.82275390625,0.0126953125
56,contradiction,contradiction,0.86328125,0.7902422857670508,28.609552699985215,-0.11181640625,0.01319122314453125,-0.11181640625
57,contradiction,contradiction,0.94140625,0.7666754905218268,25.980432099982863,0.0205078125,0.04229736328125,0.0205078125
58,contradiction,neutral,0.75830078125,0.5383973514172763,59.590349799982505,0.7041015625,0.1270751953125,0.7041015625
59,contradiction,contradiction,0.99951171875,0.7734646574576789,29.54956879999372,0.9970703125,0.962890625,0.9970703125
60,neutral,neutral,0.98388671875,0.8607820483979559,19.865952899999684,0.0380859375,0.0770263671875,0.0380859375
61,neutral,neutral,0.99755859375,0.523476398065756,32.48111140000401,0.00048828125,0.62255859375,0.00048828125
62,neutral,neutral,0.99462890625,0.9193195932245175,28.615099199989345,0.068359375,0.125732421875,0.068359375
63,neutral,neutral,0.99755859375,0.8138574764012693,46.20785810000962,0.00048828125,0.82861328125,0.00048828125
64,neutral,neutral,0.9970703125,0.9773408590469195,32.323217800003476,0.9267578125,0.97216796875,0.9267578125
65,entailment,entailment,0.9833984375,0.7010006752464915,28.61316259999876,0.076171875,0.9755859375,0.076171875
66,contradiction,neutral,0.9921875,0.8657840603226177,42.61480219999794,0.24755859375,0.76171875,0.24755859375
67,neutral,entailment,0.6201171875,0.9207907995926631,22.148840400011977,0.0673828125,0.69775390625,0.0673828125
68,neutral,neutral,0.9921875,0.5083799960266044,40.92549789999612,0.0009765625,0.63134765625,0.0009765625
69,entailment,entailment,0.99365234375,0.719291886208085,28.623235099978046,0.0205078125,0.97412109375,0.0205078125
70,contradiction,contradiction,0.81689453125,0.5323425808657798,40.07085889999871,0.70458984375,0.86376953125,0.70458984375
71,neutral,neutral,0.98876953125,0.7236384623691658,43.856079199991655,0.01123046875,0.69775390625,0.01123046875
72,contradiction,entailment,0.52392578125,0.7624456407931577,40.81538839999121,-0.4169921875,0.75927734375,-0.4169921875
73,contradiction,neutral,0.9560546875,0.6351538207565691,46.12693769999896,0.91064453125,0.16552734375,0.91064453125
74,neutral,neutral,0.98876953125,0.5905184729269943,34.66628989999299,-0.0087890625,0.958984375,-0.0087890625
75,entailment,entailment,0.99169921875,0.7929973456485283,20.93549009997514,0.0322265625,0.92431640625,0.0322265625
76,neutral,neutral,0.96484375,0.9049371106134315,31.016585300007137,0.943359375,0.82958984375,0.943359375
77,neutral,neutral,0.99609375,0.6627290076305692,32.23995049999212,0.0458984375,0.306396484375,0.0458984375
78,contradiction,contradiction,0.98095703125,0.5419322278917601,38.65724639999098,0.97705078125,0.86865234375,0.97705078125
